#rp, DS (with h) 
0.112202 139.279 
0.141254 131.312 
0.177828 121.088 
0.223872 109.21 
0.281839 96.394 
0.354813 83.4545 
0.446683 71.1765 
0.562341 59.7535 
0.707945 49.479 
0.891251 40.2247 
1.12202 31.9005 
1.41254 24.5161 
1.77828 18.1871 
2.23872 12.9879 
2.81839 9.0894 
3.54813 6.41096 
4.46683 4.61324 
5.62341 3.40373 
7.07945 2.60663 
8.91251 2.04767 
11.2202 1.64495 
14.1254 1.34228 
17.7828 1.09515 
22.3872 0.907118 
28.1839 0.740788 
35.4813 0.58632 
44.6683 0.455498 
56.2341 0.347448 
70.7945 0.256355 
89.1251 0.169959 
