# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.266049286448301281e+00 1.084514277583335622e-02
2.617879159030696012e-01 1.195716389748991748e+00 8.131938541553758448e-03
4.128676397367759265e-01 1.134763397714474209e+00 6.486897983808635401e-03
6.511365788363243645e-01 1.073632333719807930e+00 4.641251183243293686e-03
1.026912267982496907e+00 1.035931590825586168e+00 3.582541802005635365e-03
1.619550859848154722e+00 1.017621791139223131e+00 3.062288317953795920e-03
2.554205524088260404e+00 1.012876045072820030e+00 2.618658111702788782e-03
4.028256241298072027e+00 1.008379396388677129e+00 2.086415089377872175e-03
6.352992424659774429e+00 1.006343136739684452e+00 1.681588200447463018e-03
1.001935088786174610e+01 1.003709410320158701e+00 1.402201996690617463e-03
1.580159167582702118e+01 1.001502182769694826e+00 1.020749153760139869e-03
