# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.045021339108131775e+00 3.464211701619547210e-03
2.617879159030696012e-01 1.026726077878948873e+00 2.484170741420311385e-03
4.128676397367759265e-01 1.014705184797205062e+00 1.818106151800240886e-03
6.511365788363243645e-01 1.006421584624835441e+00 1.449138609558222462e-03
1.026912267982496907e+00 1.001865692837098809e+00 1.279500484982999979e-03
1.619550859848154722e+00 1.001725673489378687e+00 1.248556596150481035e-03
2.554205524088260404e+00 1.001766678693832624e+00 1.342072516511218705e-03
4.028256241298072027e+00 1.000875031265366699e+00 1.243335877486808618e-03
6.352992424659774429e+00 1.000556430562075549e+00 1.235301369311739674e-03
1.001935088786174610e+01 1.000000000000000000e+00 1.607664669103096478e-41
1.580159167582702118e+01 1.000000000000000000e+00 5.510151156196717357e-30
