# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.097075498312196640e+00 1.042655365425704597e-02
2.617879159030696012e-01 1.082754236652716306e+00 7.478089518009762952e-03
4.128676397367759265e-01 1.062971448521241369e+00 5.830217213394182051e-03
6.511365788363243645e-01 1.039020041965296182e+00 4.048656751662902363e-03
1.026912267982496907e+00 1.017752816250947712e+00 2.951876603700938611e-03
1.619550859848154722e+00 1.009303967184860706e+00 2.285349353936841528e-03
2.554205524088260404e+00 1.006261002652754311e+00 1.623869858518715327e-03
4.028256241298072027e+00 1.006280211963652027e+00 1.688476449873265329e-03
6.352992424659774429e+00 1.004125680779777596e+00 1.284773774264179151e-03
1.001935088786174610e+01 1.002309251263370893e+00 9.248373218413623396e-04
1.580159167582702118e+01 1.000609490374856803e+00 5.893931068219048506e-04
