# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.086504772088521031e+00 7.819144669123747823e-03
2.617879159030696012e-01 1.058370206157284832e+00 4.814722816729559429e-03
4.128676397367759265e-01 1.043763733563102258e+00 3.480540705224534001e-03
6.511365788363243645e-01 1.027664846748039817e+00 2.466932426210636468e-03
1.026912267982496907e+00 1.014497699358264393e+00 1.808721647938166775e-03
1.619550859848154722e+00 1.008058408835606601e+00 1.599051823465060885e-03
2.554205524088260404e+00 1.006994483368794491e+00 1.131043744819124324e-03
4.028256241298072027e+00 1.003448695370707799e+00 8.793433059472014791e-04
6.352992424659774429e+00 1.002337772695562013e+00 7.203385197208908358e-04
1.001935088786174610e+01 1.001902421979187441e+00 5.971255515464399212e-04
1.580159167582702118e+01 1.001223484652640217e+00 4.135636332252308066e-04
