# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.082316634064808714e+00 8.143610806661991455e-03
2.617879159030696012e-01 1.057811921245412901e+00 5.511222017540567605e-03
4.128676397367759265e-01 1.035391321083518834e+00 3.132651916438001626e-03
6.511365788363243645e-01 1.019350330946137584e+00 2.172417066614507151e-03
1.026912267982496907e+00 1.009779300745642150e+00 1.683740202962468856e-03
1.619550859848154722e+00 1.005528623450618664e+00 1.267956919247327334e-03
2.554205524088260404e+00 1.003125117095085672e+00 1.181159420200333281e-03
4.028256241298072027e+00 1.001903885895009116e+00 1.046742280811670603e-03
6.352992424659774429e+00 1.001380284588869962e+00 7.802859550469873774e-04
1.001935088786174610e+01 1.000000000000000000e+00 8.435177264557139116e-27
1.580159167582702118e+01 1.000000000000000000e+00 5.548397182920929560e-35
