# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.075411414607257088e+00 7.491504301143957385e-03
2.617879159030696012e-01 1.054387824469957158e+00 5.305267545952908545e-03
4.128676397367759265e-01 1.031671765812447461e+00 3.222084040035407774e-03
6.511365788363243645e-01 1.018891418939904980e+00 2.036456874459786990e-03
1.026912267982496907e+00 1.007728941020959779e+00 1.447768234080615887e-03
1.619550859848154722e+00 1.005179774826283401e+00 1.205495272819486190e-03
2.554205524088260404e+00 1.004322056461151469e+00 1.007808752265055815e-03
4.028256241298072027e+00 1.002970708146522449e+00 7.450060074408503333e-04
6.352992424659774429e+00 1.001761595764460111e+00 6.592812384781346520e-04
1.001935088786174610e+01 1.001281153877298991e+00 6.476281812906758582e-04
1.580159167582702118e+01 1.000563376638564428e+00 5.707887655778282618e-04
