# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.345764676806553872e+00 2.386244632717268027e-02
2.617879159030696012e-01 1.285849346429061679e+00 1.653851525822845267e-02
4.128676397367759265e-01 1.220469906287797057e+00 1.646525818479276787e-02
6.511365788363243645e-01 1.142034024235797363e+00 1.142536139919151338e-02
1.026912267982496907e+00 1.089416944835637446e+00 8.630479100866356862e-03
1.619550859848154722e+00 1.052907190580281815e+00 7.752429381750951948e-03
2.554205524088260404e+00 1.038324799256823638e+00 6.025847663883395280e-03
4.028256241298072027e+00 1.031952615968930731e+00 5.826154002004952683e-03
6.352992424659774429e+00 1.023729572820686107e+00 4.509863801048436156e-03
1.001935088786174610e+01 1.010329288184229624e+00 2.741008810016288492e-03
1.580159167582702118e+01 1.000471182867063158e+00 1.554459249483759829e-03
