# Covariance of gaussian amplitudes
5.612263669405841290e-05 2.428361307328514960e-05 1.045925321532894967e-05 6.459757555868218777e-06 3.560577916686671176e-06 2.663844228571863436e-06 2.083463996905050773e-06 1.322239313084218589e-06 8.930782856023073144e-07 9.178644568517237685e-07 1.375957398180219526e-07
2.428361307328514960e-05 2.814586373414119542e-05 9.915000823770119879e-06 6.474300110475810356e-06 3.278649246739683762e-06 2.774478169405430389e-06 2.399105361865346542e-06 1.160617437508904376e-06 7.251349662713895121e-07 5.948105316516735704e-07 1.252223397394691267e-07
1.045925321532894967e-05 9.915000823770119879e-06 1.038182556105089497e-05 4.234508847263629136e-06 3.015503034232449946e-06 2.680724224276365472e-06 2.026667298653644917e-06 1.133510065746305709e-06 7.875069719302608821e-07 7.582359946136370609e-07 4.701433372025787636e-07
6.459757555868218777e-06 6.474300110475810356e-06 4.234508847263629136e-06 4.147156601534524679e-06 1.710073719707085320e-06 1.394542201537277269e-06 1.185631892129782379e-06 8.271785210310145426e-07 5.741394265136390987e-07 4.126093688870442134e-07 1.779195243441428308e-07
3.560577916686671176e-06 3.278649246739683762e-06 3.015503034232449946e-06 1.710073719707085320e-06 2.096032859612904786e-06 1.318888659764951675e-06 1.030019401358450849e-06 5.954954027499179750e-07 4.141455796912416081e-07 3.048310400108884741e-07 1.583493576567841414e-07
2.663844228571863436e-06 2.774478169405430389e-06 2.680724224276365472e-06 1.394542201537277269e-06 1.318888659764951675e-06 1.453218852790127266e-06 1.012730206838193466e-06 5.949558596018377560e-07 4.085058518831796886e-07 3.574266914676770714e-07 2.060277685060241291e-07
2.083463996905050773e-06 2.399105361865346542e-06 2.026667298653644917e-06 1.185631892129782379e-06 1.030019401358450849e-06 1.012730206838193466e-06 1.015678481142048744e-06 5.340293019525197607e-07 3.865932340021035547e-07 3.368038701452177185e-07 1.810501607152513443e-07
1.322239313084218589e-06 1.160617437508904376e-06 1.133510065746305709e-06 8.271785210310145426e-07 5.954954027499179750e-07 5.949558596018377560e-07 5.340293019525197607e-07 5.550339511229563612e-07 3.716018457855394022e-07 2.626468586338334545e-07 1.837737969915835827e-07
8.930782856023073144e-07 7.251349662713895121e-07 7.875069719302608821e-07 5.741394265136390987e-07 4.141455796912416081e-07 4.085058518831796886e-07 3.865932340021035547e-07 3.716018457855394022e-07 4.346517514092631227e-07 2.731395963264677660e-07 1.962762016352396558e-07
9.178644568517237685e-07 5.948105316516735704e-07 7.582359946136370609e-07 4.126093688870442134e-07 3.048310400108884741e-07 3.574266914676770714e-07 3.368038701452177185e-07 2.626468586338334545e-07 2.731395963264677660e-07 4.194222612018685207e-07 2.562361021232336771e-07
1.375957398180219526e-07 1.252223397394691267e-07 4.701433372025787636e-07 1.779195243441428308e-07 1.583493576567841414e-07 2.060277685060241291e-07 1.810501607152513443e-07 1.837737969915835827e-07 1.962762016352396558e-07 2.562361021232336771e-07 3.257998149098610133e-07
