# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.127138376714592605e+00 5.273472587003921568e-03
2.617879159030696012e-01 1.079686935295361749e+00 3.880212997451329502e-03
4.128676397367759265e-01 1.045089254818379443e+00 2.898096890151214203e-03
6.511365788363243645e-01 1.024199302275832890e+00 2.393667787962334200e-03
1.026912267982496907e+00 1.010964346962703653e+00 2.101000693554819481e-03
1.619550859848154722e+00 1.007240915714139318e+00 1.900623565661702314e-03
2.554205524088260404e+00 1.006462091012378934e+00 1.901295064997797621e-03
4.028256241298072027e+00 1.003440813732467740e+00 1.825101663522234316e-03
6.352992424659774429e+00 1.000655675965958391e+00 1.872934536791821640e-03
1.001935088786174610e+01 1.000000000000000000e+00 3.209976257440277153e-33
1.580159167582702118e+01 1.000000000000000000e+00 5.338304962953255687e-26
