# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.209368237079191166e+00 8.608416506790743730e-03
2.617879159030696012e-01 1.139645543612375800e+00 5.887755740607376366e-03
4.128676397367759265e-01 1.093143331847887589e+00 4.762363194194977299e-03
6.511365788363243645e-01 1.052271362721143966e+00 4.125624973443560613e-03
1.026912267982496907e+00 1.027194038007762433e+00 3.080882055167751075e-03
1.619550859848154722e+00 1.012837861591131539e+00 2.503004690094885829e-03
2.554205524088260404e+00 1.010553665321817451e+00 2.199265329682190129e-03
4.028256241298072027e+00 1.006028541559862655e+00 1.662675486933955574e-03
6.352992424659774429e+00 1.003940060303388337e+00 1.431367988298138435e-03
1.001935088786174610e+01 1.002263646772999506e+00 1.250287436302811254e-03
1.580159167582702118e+01 1.000132852456620647e+00 8.448380753067164742e-04
