# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.091821090450590281e+00 1.392656175707603430e-02
2.617879159030696012e-01 1.067018303511683364e+00 7.026102036090521412e-03
4.128676397367759265e-01 1.041300659613864532e+00 5.670618293802172361e-03
6.511365788363243645e-01 1.028851412757749939e+00 4.075593974470340108e-03
1.026912267982496907e+00 1.013107942598526545e+00 2.935623364844487573e-03
1.619550859848154722e+00 1.007936418490783526e+00 2.423047908897491345e-03
2.554205524088260404e+00 1.006423042705474113e+00 1.900504605934295486e-03
4.028256241298072027e+00 1.004887944211524164e+00 1.655123802289878944e-03
6.352992424659774429e+00 1.003573047746104896e+00 1.445456408216830258e-03
1.001935088786174610e+01 1.002312246482496949e+00 9.290921081083020018e-04
1.580159167582702118e+01 1.000113057453928311e+00 5.683166644140427975e-04
