# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.062879310009628764e+00 5.315481083199243006e-03
2.617879159030696012e-01 1.045958265120445763e+00 4.065731726345808532e-03
4.128676397367759265e-01 1.027611759030930605e+00 2.515525750876702622e-03
6.511365788363243645e-01 1.013747672222656604e+00 1.765889811990696339e-03
1.026912267982496907e+00 1.007494952342965933e+00 1.220541762662325121e-03
1.619550859848154722e+00 1.005186892896121176e+00 1.168981400753257328e-03
2.554205524088260404e+00 1.003844658061584294e+00 8.150031823381025326e-04
4.028256241298072027e+00 1.002487613662753407e+00 7.759811435438840506e-04
6.352992424659774429e+00 1.002059261455193306e+00 7.147564782556853650e-04
1.001935088786174610e+01 1.000815526653342502e+00 5.882102640074915760e-04
1.580159167582702118e+01 1.000814691852505600e+00 5.475057490637269498e-04
