# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.114217339137439033e+00 2.240318249663748873e-02
2.617879159030696012e-01 1.087122380328260141e+00 1.596023424468707638e-02
4.128676397367759265e-01 1.063800627791209985e+00 8.962535093731386140e-03
6.511365788363243645e-01 1.041461716877966293e+00 5.836105651728677388e-03
1.026912267982496907e+00 1.028831513006368104e+00 4.557241563497713838e-03
1.619550859848154722e+00 1.018050551776939816e+00 3.257176658575623371e-03
2.554205524088260404e+00 1.012839813566941860e+00 2.850560431548954804e-03
4.028256241298072027e+00 1.012747518136430713e+00 2.561528995049092584e-03
6.352992424659774429e+00 1.009993071910822549e+00 2.183180697150109185e-03
1.001935088786174610e+01 1.006724942620915275e+00 1.632295428964595152e-03
1.580159167582702118e+01 1.001264673020357376e+00 9.132130428420554913e-04
