# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.318559135158241524e+00 1.575433538344003098e-02
2.617879159030696012e-01 1.239908947385180538e+00 1.103080042322936334e-02
4.128676397367759265e-01 1.170593557042992838e+00 8.350533798527409388e-03
6.511365788363243645e-01 1.096357620162563995e+00 6.120946244231658707e-03
1.026912267982496907e+00 1.054867563208567116e+00 5.031630794406557507e-03
1.619550859848154722e+00 1.031641664870267983e+00 4.728303657587658478e-03
2.554205524088260404e+00 1.019162264939647455e+00 4.251934854704013042e-03
4.028256241298072027e+00 1.015749572850509264e+00 3.611674631445906895e-03
6.352992424659774429e+00 1.008695302467196742e+00 2.453044525253133233e-03
1.001935088786174610e+01 1.004597989922960899e+00 1.668291039901764316e-03
1.580159167582702118e+01 1.000005767097409182e+00 2.189779996770358135e-04
