# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.105091482296715721e+00 2.145636745724011085e-02
2.617879159030696012e-01 1.122099765024776374e+00 1.510297037203921049e-02
4.128676397367759265e-01 1.064641622416840017e+00 9.638613060655113612e-03
6.511365788363243645e-01 1.049268802257533384e+00 8.372657985768219152e-03
1.026912267982496907e+00 1.028971705275574466e+00 5.029007132365096583e-03
1.619550859848154722e+00 1.015368950124728942e+00 3.587053017610104550e-03
2.554205524088260404e+00 1.009054649565167328e+00 2.473681666528746836e-03
4.028256241298072027e+00 1.004529778564459574e+00 1.855142655122778020e-03
6.352992424659774429e+00 1.004450178042438413e+00 1.556813367605140762e-03
1.001935088786174610e+01 1.004431004961175988e+00 1.246271405993025407e-03
1.580159167582702118e+01 1.001625168030848556e+00 7.917217766722371621e-04
