# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.035221475805471636e+00 2.878634937652889501e-03
2.617879159030696012e-01 1.021072254264823842e+00 1.931953059014019508e-03
4.128676397367759265e-01 1.009368388633151259e+00 1.503554523665235135e-03
6.511365788363243645e-01 1.004660507998159868e+00 1.246864256801871957e-03
1.026912267982496907e+00 1.002304975497515738e+00 1.130628120539414446e-03
1.619550859848154722e+00 1.001753547858073912e+00 1.014510005259977067e-03
2.554205524088260404e+00 1.001845085692007586e+00 9.915968796459255150e-04
4.028256241298072027e+00 1.001844730516743720e+00 9.941711883894586207e-04
6.352992424659774429e+00 1.001702990755358957e+00 1.039348713014338812e-03
1.001935088786174610e+01 1.001447381785738111e+00 9.812702770590022751e-04
1.580159167582702118e+01 1.001064898669281167e+00 8.470149608705222462e-04
