# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.179198226335376187e+00 8.997545842127014845e-03
2.617879159030696012e-01 1.123056607775673177e+00 6.354368488578733890e-03
4.128676397367759265e-01 1.079385760953848417e+00 4.672790804679267246e-03
6.511365788363243645e-01 1.047025964327273462e+00 3.281911424809455177e-03
1.026912267982496907e+00 1.024415225205695057e+00 2.589959859412485372e-03
1.619550859848154722e+00 1.017718495629263309e+00 2.366275203788651034e-03
2.554205524088260404e+00 1.008891905391082533e+00 1.760002987669480800e-03
4.028256241298072027e+00 1.006126172125860530e+00 1.701531210015143781e-03
6.352992424659774429e+00 1.003832572887418007e+00 1.438705158277342163e-03
1.001935088786174610e+01 1.003316205586787691e+00 1.406255219775013427e-03
1.580159167582702118e+01 1.000615996890521053e+00 1.000413968940820717e-03
