# R [Mpc]	DeltaSigma_t [M_sun / pc^2]	DeltaSigma_t_err [M_sun / pc^2]	DeltaSigma_x [M_sun / pc^2]	DeltaSigma_x_err [M_sun / pc^2]
4.287377304589855276e-02 -4.459441561343520277e+01 1.025464240361799000e+02 9.552793144648941848e+01 1.075490504080096343e+02
6.673651962031902640e-02 1.877858668410685539e+02 4.825654938479157607e+01 3.055399707131986275e+01 4.456275459544318096e+01
1.045633445233486863e-01 1.282423101499755376e+02 2.998857495517323812e+01 1.452107446503920585e+01 2.742900176433072090e+01
1.649685356174374895e-01 1.090916411754155178e+02 1.960556555247725896e+01 -1.387080628952807082e+01 1.772766917677776632e+01
2.610836896167459398e-01 1.075665049793184096e+02 1.267157894329347023e+01 -1.462383881689840237e+00 1.327231027535217933e+01
4.121450073928996094e-01 7.392195246119064223e+01 7.954142151264877114e+00 9.113316097882641742e+00 6.877127970116973188e+00
6.505585162859280901e-01 5.898333431580639541e+01 5.055310947007162881e+00 4.164920339829655815e-01 5.134371602379953714e+00
1.025876017565367171e+00 3.267066356389836557e+01 2.971492796013672333e+00 2.423689716853659970e+00 3.414948896127723899e+00
1.618305281910372484e+00 1.975314020628288958e+01 1.924210217861441530e+00 2.395907101685456064e-01 1.821269462118306537e+00
2.553644366915049257e+00 9.558159592505212743e+00 1.251868530973720750e+00 1.200208773259388684e+00 1.237464348682881354e+00
4.027341079020847481e+00 4.393599338485333128e+00 9.417654714734112753e-01 2.133550758303531580e+00 8.745546423650091272e-01
6.348746924540159320e+00 3.654609679249113618e+00 4.704747107026169828e-01 6.369140516085578518e-01 5.725384707674376905e-01
1.001246011306191974e+01 2.395886000417571715e+00 3.539131040085159996e-01 7.420549874165067727e-01 3.542065554025723428e-01
1.578520675393833805e+01 2.021087152886228644e+00 2.731953898405939385e-01 2.038634205614007211e-01 2.315364330812165472e-01
2.488002666758585235e+01 1.057972898992880717e+00 2.001796956297700880e-01 -5.864435129100347560e-02 1.475245322681888183e-01
