# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.102492313835493620e+00 2.641845357598944510e-02
2.617879159030696012e-01 1.079405030515429686e+00 1.553468676963980222e-02
4.128676397367759265e-01 1.066300302757303031e+00 1.305547764821382052e-02
6.511365788363243645e-01 1.046476367427316756e+00 1.033681773212084820e-02
1.026912267982496907e+00 1.020353113344193874e+00 4.983961083076304810e-03
1.619550859848154722e+00 1.015649242737267643e+00 5.000653444145407821e-03
2.554205524088260404e+00 1.004976447036861398e+00 2.973839296614153634e-03
4.028256241298072027e+00 1.003240907736984822e+00 2.696154670084055169e-03
6.352992424659774429e+00 1.002676368529949125e+00 2.433902585642261623e-03
1.001935088786174610e+01 1.002485364339358753e+00 2.025993959759611000e-03
1.580159167582702118e+01 1.000153324518668896e+00 1.103353758975819318e-03
