# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.059165459326393499e+00 6.416464600517276726e-03
2.617879159030696012e-01 1.038333583461818366e+00 3.466349090459872745e-03
4.128676397367759265e-01 1.025733106839197717e+00 2.662322925414430802e-03
6.511365788363243645e-01 1.014116420926446382e+00 1.566595706519824469e-03
1.026912267982496907e+00 1.003907645868454823e+00 1.287798849952269528e-03
1.619550859848154722e+00 1.002628678593745271e+00 9.619978026820873813e-04
2.554205524088260404e+00 1.002538395801886750e+00 8.190405659150146568e-04
4.028256241298072027e+00 1.001544487640548597e+00 7.111317350334889816e-04
6.352992424659774429e+00 1.001452915731573690e+00 6.310127841451255905e-04
1.001935088786174610e+01 1.000820640662367644e+00 5.440966374972463875e-04
1.580159167582702118e+01 1.000004425210916814e+00 1.228697496087154649e-04
