# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.053376739867985856e+00 5.580509397629340902e-03
2.617879159030696012e-01 1.032764201080985655e+00 3.350856228160321946e-03
4.128676397367759265e-01 1.014127609721301893e+00 2.060498317384806388e-03
6.511365788363243645e-01 1.008808855660358272e+00 1.404078097884259952e-03
1.026912267982496907e+00 1.002131353292647020e+00 1.021183588031556334e-03
1.619550859848154722e+00 1.001528545057034814e+00 8.233674860906872121e-04
2.554205524088260404e+00 1.001106523094618339e+00 8.389309916038362527e-04
4.028256241298072027e+00 1.001107286544361541e+00 6.647570624702343672e-04
6.352992424659774429e+00 1.000575692529494409e+00 6.386208695749164216e-04
1.001935088786174610e+01 1.000110508548077703e+00 5.581632952454954532e-04
1.580159167582702118e+01 1.000003900295501902e+00 1.279227144531392411e-04
