# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.401264748406244376e+00 2.683923946311013095e-02
2.617879159030696012e-01 1.368682840508124166e+00 2.380121532117232888e-02
4.128676397367759265e-01 1.270771557913317196e+00 1.661067147638751670e-02
6.511365788363243645e-01 1.176284350548209234e+00 1.107169181538458953e-02
1.026912267982496907e+00 1.117422928506894619e+00 8.611497653801722038e-03
1.619550859848154722e+00 1.070233837178914182e+00 6.812716765225579861e-03
2.554205524088260404e+00 1.039597844782865099e+00 5.380955337219595763e-03
4.028256241298072027e+00 1.025332417026575182e+00 4.228713409054180548e-03
6.352992424659774429e+00 1.021163158736272170e+00 3.875877188667692808e-03
1.001935088786174610e+01 1.007799836565344220e+00 2.387694255548741991e-03
1.580159167582702118e+01 1.000000000000878853e+00 1.975747385930835272e-11
