#rp, DS (with h) 
0.112202 122.151 
0.141254 116.585 
0.177828 108.398 
0.223872 98.6375 
0.281839 87.6202 
0.354813 76.6878 
0.446683 66.0129 
0.562341 55.9681 
0.707945 46.7951 
0.891251 38.3187 
1.12202 30.5113 
1.41254 23.4897 
1.77828 17.3427 
2.23872 12.3277 
2.81839 8.62091 
3.54813 6.08704 
4.46683 4.39712 
5.62341 3.25478 
7.07945 2.50771 
8.91251 1.97579 
11.2202 1.58539 
14.1254 1.29467 
17.7828 1.05843 
22.3872 0.881417 
28.1839 0.719736 
35.4813 0.569423 
44.6683 0.438377 
56.2341 0.330079 
70.7945 0.24607 
89.1251 0.162841 
